country_region,province_state,date,confirmed,deaths,recovered,active
US,New York,2020-03-27,5,0,0,0
US,New York,2020-03-27,2,0,0,0
US,New York,2020-03-27,1,0,0,0
US,New York,2020-03-27,6,0,0,0
US,New York,2020-03-27,6,0,0,0
US,New York,2020-03-27,2,0,0,0
US,New York,2020-03-27,9,0,0,0
US,New York,2020-03-27,4,0,0,0
US,New York,2020-03-27,0,0,0,0
US,New York,2020-03-27,0,0,0,0
US,New York,2020-03-27,3,0,0,0
US,New York,2020-03-27,17,1,0,0
US,New York,2020-03-27,166,4,0,0
US,New York,2020-03-27,5,0,0,0
US,New York,2020-03-27,4657,19,0,0
US,New York,2020-03-27,25573,366,0,0
US,New York,2020-03-27,23,0,0,0
US,New York,2020-03-27,13,0,0,0
US,New York,2020-03-27,123,1,0,0
US,New York,2020-03-27,14,0,0,0
US,New York,2020-03-27,910,1,0,0
US,New York,2020-03-27,3,0,0,0
US,New York,2020-03-27,4,0,0,0
US,New York,2020-03-27,5,0,0,0
US,New York,2020-03-27,111,0,0,0
US,New York,2020-03-27,0,0,0,0
US,New York,2020-03-27,44,0,0,0
US,New York,2020-03-27,0,0,0,0
US,New York,2020-03-27,1457,7,0,0
US,New York,2020-03-27,82,0,0,0
US,New York,2020-03-27,66,1,0,0
US,New York,2020-03-27,3,0,0,0
US,New York,2020-03-27,0,0,0,0
US,New York,2020-03-27,0,0,0,0
US,New York,2020-03-27,4,0,0,0
US,New York,2020-03-27,12,0,0,0
US,New York,2020-03-27,3385,30,0,0
US,New York,2020-03-27,64,0,0,0
US,New York,2020-03-27,2,0,0,0
US,New York,2020-03-27,32,0,0,0
US,New York,2020-03-27,98,0,0,0
US,New York,2020-03-27,0,87,0,0
US,New York,2020-03-27,8,0,0,0
US,New York,2020-03-27,6,0,0,0
US,New York,2020-03-27,11,0,0,0
US,New York,2020-03-27,7187,1,0,0
US,New York,2020-03-27,7,1,0,0
US,New York,2020-03-27,0,0,0,0
US,New York,2020-03-28,195,0,0,0
US,New York,2020-03-28,2,0,0,0
US,New York,2020-03-28,0,0,0,0
US,New York,2020-03-28,23,3,0,0
US,New York,2020-03-28,1,0,0,0
US,New York,2020-03-28,2,0,0,0
US,New York,2020-03-28,5,0,0,0
US,New York,2020-03-28,12,0,0,0
US,New York,2020-03-28,8,0,0,0
US,New York,2020-03-28,12,0,0,0
US,New York,2020-03-28,30,1,0,0
US,New York,2020-03-28,7,0,0,0
US,New York,2020-03-28,8,0,0,0
US,New York,2020-03-28,262,2,0,0
US,New York,2020-03-28,318,6,0,0
US,New York,2020-03-28,5,0,0,0
US,New York,2020-03-28,5,0,0,0
US,New York,2020-03-28,1,0,0,0
US,New York,2020-03-28,7,0,0,0
US,New York,2020-03-28,7,0,0,0
US,New York,2020-03-28,2,0,0,0
US,New York,2020-03-28,9,1,0,0
US,New York,2020-03-28,6,0,0,0
US,New York,2020-03-28,0,0,0,0
US,New York,2020-03-28,0,0,0,0
US,New York,2020-03-28,10,0,0,0
US,New York,2020-03-28,28,1,0,0
US,New York,2020-03-28,202,5,0,0
US,New York,2020-03-28,6,0,0,0
US,New York,2020-03-28,5537,27,0,0
US,New York,2020-03-28,29776,517,0,0
US,New York,2020-03-28,33,0,0,0
US,New York,2020-03-28,23,0,0,0
US,New York,2020-03-28,146,1,0,0
US,New York,2020-03-28,16,0,0,0
US,New York,2020-03-28,1101,4,0,0
US,New York,2020-03-28,3,0,0,0
US,New York,2020-03-28,9,0,0,0
US,New York,2020-03-28,7,1,0,0
US,New York,2020-03-28,131,0,0,0
US,New York,2020-03-28,0,0,0,0
US,New York,2020-03-28,51,0,0,0
US,New York,2020-03-28,0,0,0,0
US,New York,2020-03-28,1896,8,0,0
US,New York,2020-03-28,96,0,0,0
US,New York,2020-03-28,72,1,0,0
US,New York,2020-03-28,5,0,0,0
US,New York,2020-03-28,1,0,0,0
US,New York,2020-03-28,0,0,0,0
US,New York,2020-03-28,8,0,0,0
US,New York,2020-03-28,13,0,0,0
US,New York,2020-03-28,4138,30,0,0
US,New York,2020-03-28,72,0,0,0
US,New York,2020-03-28,6,0,0,0
US,New York,2020-03-28,48,0,0,0
US,New York,2020-03-28,133,0,0,0
US,New York,2020-03-28,0,109,0,0
US,New York,2020-03-28,13,0,0,0
US,New York,2020-03-28,9,0,0,0
US,New York,2020-03-28,12,0,0,0
US,New York,2020-03-28,7875,10,0,0
US,New York,2020-03-28,7,1,0,0
US,New York,2020-03-28,0,0,0,0
US,New York,2020-03-29,205,1,0,0
US,New York,2020-03-29,6,0,0,0
US,New York,2020-03-29,0,0,0,0
US,New York,2020-03-29,29,3,0,0
US,New York,2020-03-29,4,0,0,0
US,New York,2020-03-29,2,0,0,0
US,New York,2020-03-29,7,0,0,0
US,New York,2020-03-29,15,0,0,0
US,New York,2020-03-29,15,0,0,0
US,New York,2020-03-29,13,0,0,0
US,New York,2020-03-29,30,1,0,0
US,New York,2020-03-29,8,0,0,0
US,New York,2020-03-29,8,0,0,0
US,New York,2020-03-29,320,2,0,0
US,New York,2020-03-29,414,7,0,0
US,New York,2020-03-29,5,0,0,0
US,New York,2020-03-29,6,0,0,0
US,New York,2020-03-29,1,0,0,0
US,New York,2020-03-29,9,0,0,0
US,New York,2020-03-29,7,0,0,0
US,New York,2020-03-29,2,0,0,0
US,New York,2020-03-29,10,2,0,0
US,New York,2020-03-29,7,0,0,0
US,New York,2020-03-29,0,0,0,0
US,New York,2020-03-29,0,0,0,0
US,New York,2020-03-29,10,0,0,0
US,New York,2020-03-29,29,1,0,0
US,New York,2020-03-29,219,5,0,0
US,New York,2020-03-29,6,0,0,0
US,New York,2020-03-29,6445,39,0,0
US,New York,2020-03-29,33768,678,0,0
US,New York,2020-03-29,38,0,0,0
US,New York,2020-03-29,26,0,0,0
US,New York,2020-03-29,194,1,0,0
US,New York,2020-03-29,18,0,0,0
US,New York,2020-03-29,1247,5,0,0
US,New York,2020-03-29,3,0,0,0
US,New York,2020-03-29,10,0,0,0
US,New York,2020-03-29,10,1,0,0
US,New York,2020-03-29,144,0,0,0
US,New York,2020-03-29,0,0,0,0
US,New York,2020-03-29,51,0,0,0
US,New York,2020-03-29,0,0,0,0
US,New York,2020-03-29,2209,8,0,0
US,New York,2020-03-29,102,0,0,0
US,New York,2020-03-29,76,1,0,0
US,New York,2020-03-29,5,0,0,0
US,New York,2020-03-29,1,0,0,0
US,New York,2020-03-29,0,0,0,0
US,New York,2020-03-29,12,0,0,0
US,New York,2020-03-29,17,0,0,0
US,New York,2020-03-29,5023,40,0,0
US,New York,2020-03-29,88,0,0,0
US,New York,2020-03-29,6,0,0,0
US,New York,2020-03-29,56,0,0,0
US,New York,2020-03-29,146,0,0,0
US,New York,2020-03-29,0,159,0,0
US,New York,2020-03-29,18,0,0,0
US,New York,2020-03-29,9,0,0,0
US,New York,2020-03-29,12,0,0,0
US,New York,2020-03-29,8519,10,0,0
US,New York,2020-03-29,8,1,0,0
US,New York,2020-03-29,0,0,0,0
US,New York,2020-03-30,217,1,0,0
US,New York,2020-03-30,7,0,0,0
US,New York,2020-03-30,0,0,0,0
US,New York,2020-03-30,35,3,0,0
US,New York,2020-03-30,6,0,0,0
US,New York,2020-03-30,3,0,0,0
US,New York,2020-03-30,7,0,0,0
US,New York,2020-03-30,15,0,0,0
US,New York,2020-03-30,17,0,0,0
US,New York,2020-03-30,17,0,0,0
US,New York,2020-03-30,36,1,0,0
US,New York,2020-03-30,10,0,0,0
US,New York,2020-03-30,11,0,0,0
US,New York,2020-03-30,392,2,0,0
US,New York,2020-03-30,443,7,0,0
US,New York,2020-03-30,5,0,0,0
US,New York,2020-03-30,6,0,0,0
US,New York,2020-03-30,1,0,0,0
US,New York,2020-03-30,9,0,0,0
US,New York,2020-03-30,10,0,0,0
US,New York,2020-03-30,2,0,0,0
US,New York,2020-03-30,12,2,0,0
US,New York,2020-03-30,11,0,0,0
US,New York,2020-03-30,0,0,0,0
US,New York,2020-03-30,0,0,0,0
US,New York,2020-03-30,13,0,0,0
US,New York,2020-03-30,42,1,0,0
US,New York,2020-03-30,246,6,0,0
US,New York,2020-03-30,6,0,0,0
US,New York,2020-03-30,7344,39,0,0
US,New York,2020-03-30,37453,790,0,0
US,New York,2020-03-30,41,0,0,0
US,New York,2020-03-30,34,0,0,0
US,New York,2020-03-30,228,1,0,0
US,New York,2020-03-30,20,0,0,0
US,New York,2020-03-30,1435,5,0,0
US,New York,2020-03-30,4,0,0,0
US,New York,2020-03-30,15,0,0,0
US,New York,2020-03-30,17,1,0,0
US,New York,2020-03-30,167,0,0,0
US,New York,2020-03-30,0,0,0,0
US,New York,2020-03-30,52,0,0,0
US,New York,2020-03-30,0,0,0,0
US,New York,2020-03-30,2511,8,0,0
US,New York,2020-03-30,108,1,0,0
US,New York,2020-03-30,80,1,0,0
US,New York,2020-03-30,6,0,0,0
US,New York,2020-03-30,2,0,0,0
US,New York,2020-03-30,0,0,0,0
US,New York,2020-03-30,13,0,0,0
US,New York,2020-03-30,19,0,0,0
US,New York,2020-03-30,5791,40,0,0
US,New York,2020-03-30,101,0,0,0
US,New York,2020-03-30,7,0,0,0
US,New York,2020-03-30,70,0,0,0
US,New York,2020-03-30,190,0,0,0
US,New York,2020-03-30,0,298,0,0
US,New York,2020-03-30,18,0,0,0
US,New York,2020-03-30,9,0,0,0
US,New York,2020-03-30,15,0,0,0
US,New York,2020-03-30,9326,10,0,0
US,New York,2020-03-30,8,1,0,0
US,New York,2020-03-30,0,0,0,0
US,New York,2020-03-31,226,1,0,0
US,New York,2020-03-31,9,1,0,0
US,New York,2020-03-31,38,3,0,0
US,New York,2020-03-31,6,0,0,0
US,New York,2020-03-31,4,0,0,0
US,New York,2020-03-31,7,0,0,0
US,New York,2020-03-31,20,0,0,0
US,New York,2020-03-31,19,0,0,0
US,New York,2020-03-31,21,0,0,0
US,New York,2020-03-31,36,1,0,0
US,New York,2020-03-31,10,0,0,0
US,New York,2020-03-31,16,0,0,0
US,New York,2020-03-31,484,3,0,0
US,New York,2020-03-31,499,8,0,0
US,New York,2020-03-31,5,0,0,0
US,New York,2020-03-31,6,0,0,0
US,New York,2020-03-31,1,0,0,0
US,New York,2020-03-31,11,1,0,0
US,New York,2020-03-31,10,0,0,0
US,New York,2020-03-31,2,0,0,0
US,New York,2020-03-31,12,2,0,0
US,New York,2020-03-31,11,0,0,0
US,New York,2020-03-31,2,0,0,0
US,New York,2020-03-31,15,0,0,0
US,New York,2020-03-31,49,1,0,0
US,New York,2020-03-31,257,8,0,0
US,New York,2020-03-31,6,0,0,0
US,New York,2020-03-31,8544,48,0,0
US,New York,2020-03-31,43119,932,0,0
US,New York,2020-03-31,41,0,0,0
US,New York,2020-03-31,34,0,0,0
US,New York,2020-03-31,249,1,0,0
US,New York,2020-03-31,20,0,0,0
US,New York,2020-03-31,1556,5,0,0
US,New York,2020-03-31,5,0,0,0
US,New York,2020-03-31,15,0,0,0
US,New York,2020-03-31,17,1,0,0
US,New York,2020-03-31,167,0,0,0
US,New York,2020-03-31,54,0,0,0
US,New York,2020-03-31,2863,8,0,0
US,New York,2020-03-31,108,1,0,0
US,New York,2020-03-31,85,1,0,0
US,New York,2020-03-31,6,0,0,0
US,New York,2020-03-31,2,0,0,0
US,New York,2020-03-31,23,0,0,0
US,New York,2020-03-31,19,0,0,0
US,New York,2020-03-31,6713,44,0,0
US,New York,2020-03-31,106,1,0,0
US,New York,2020-03-31,8,0,0,0
US,New York,2020-03-31,73,0,0,0
US,New York,2020-03-31,207,0,0,0
US,New York,2020-03-31,0,468,0,0
US,New York,2020-03-31,18,0,0,0
US,New York,2020-03-31,9,0,0,0
US,New York,2020-03-31,15,0,0,0
US,New York,2020-03-31,9967,10,0,0
US,New York,2020-03-31,8,1,0,0
US,New York,2020-04-01,240,1,0,0
US,New York,2020-04-01,10,1,0,0
US,New York,2020-04-01,42,3,0,0
US,New York,2020-04-01,7,0,0,0
US,New York,2020-04-01,4,0,0,0
US,New York,2020-04-01,8,1,0,0
US,New York,2020-04-01,22,0,0,0
US,New York,2020-04-01,26,0,0,0
US,New York,2020-04-01,25,0,0,0
US,New York,2020-04-01,41,1,0,0
US,New York,2020-04-01,10,0,0,0
US,New York,2020-04-01,20,0,0,0
US,New York,2020-04-01,547,4,0,0
US,New York,2020-04-01,582,11,0,0
US,New York,2020-04-01,6,0,0,0
US,New York,2020-04-01,9,0,0,0
US,New York,2020-04-01,2,0,0,0
US,New York,2020-04-01,13,1,0,0
US,New York,2020-04-01,18,0,0,0
US,New York,2020-04-01,2,0,0,0
US,New York,2020-04-01,12,2,0,0
US,New York,2020-04-01,12,0,0,0
US,New York,2020-04-01,2,0,0,0
US,New York,2020-04-01,18,0,0,0
US,New York,2020-04-01,62,2,0,0
US,New York,2020-04-01,349,9,0,0
US,New York,2020-04-01,7,0,0,0
US,New York,2020-04-01,9554,76,0,0
US,New York,2020-04-01,47439,1139,0,0
US,New York,2020-04-01,46,0,0,0
US,New York,2020-04-01,50,1,0,0
US,New York,2020-04-01,277,1,0,0
US,New York,2020-04-01,24,0,0,0
US,New York,2020-04-01,1756,19,0,0
US,New York,2020-04-01,6,0,0,0
US,New York,2020-04-01,20,0,0,0
US,New York,2020-04-01,19,1,0,0
US,New York,2020-04-01,207,0,0,0
US,New York,2020-04-01,55,0,0,0
US,New York,2020-04-01,3321,18,0,0
US,New York,2020-04-01,122,1,0,0
US,New York,2020-04-01,93,1,0,0
US,New York,2020-04-01,9,0,0,0
US,New York,2020-04-01,2,0,0,0
US,New York,2020-04-01,2,0,0,0
US,New York,2020-04-01,34,0,0,0
US,New York,2020-04-01,38,0,0,0
US,New York,2020-04-01,7605,53,0,0
US,New York,2020-04-01,121,1,0,0
US,New York,2020-04-01,8,0,0,0
US,New York,2020-04-01,76,0,0,0
US,New York,2020-04-01,222,3,0,0
US,New York,2020-04-01,0,565,0,0
US,New York,2020-04-01,18,0,0,0
US,New York,2020-04-01,11,0,0,0
US,New York,2020-04-01,24,0,0,0
US,New York,2020-04-01,10683,25,0,0
